Id,Title, Budget , Revenue ,Original Language,Popularity,Production Countries,Production Companies,Genre 1,Genre 2,Genre 3,Genre 4,Release Date,Runtime,Status,Tagline,Vote Average,Vote Count,,,,,,
862,Toy Story,"$30,000,000.00 ","$373,554,033.00 ",en,21.946943,  United States of America, Pixar Animation Studios,Animation,Comedy,Family,,10/30/1995,81,Released,,7.7,5415,,,,,,
8844,Jumanji,"$65,000,000.00 ","$262,797,249.00 ",en,17.015539,  United States of America, TriStar Pictures,Adventure,Fantasy,Family,,12/15/1995,104,Released,Roll the dice and unleash the excitement!,6.9,2413,,,,,,
31357,Waiting to Exhale,"$16,000,000.00 ","$81,452,156.00 ",en,3.859495,  United States of America, Twentieth Century Fox Film Corporation,Comedy,Drama,Romance,,12/22/1995,127,Released,Friends are the people who let you be yourself... and never let you forget it.,6.1,34,,,,,,
949,Heat,"$60,000,000.00 ","$187,436,818.00 ",en,17.924927,  United States of America, Regency Enterprises,Action,Crime,Drama,Thriller,12/15/1995,170,Released,A Los Angeles Crime Saga,7.7,1886,,,,,,
9091,Sudden Death,"$35,000,000.00 ","$64,350,171.00 ",en,5.23158,  United States of America, Universal Pictures,Action,Adventure,Thriller,,12/22/1995,106,Released,Terror goes into overtime.,5.5,174,,,,,,
710,GoldenEye,"$58,000,000.00 ","$352,194,034.00 ",en,14.686036,  United Kingdom, United Artists,Adventure,Action,Thriller,,11/16/1995,130,Released,No limits. No fears. No substitutes.,6.6,1194,,,,,,
9087,The American President,"$62,000,000.00 ","$107,879,496.00 ",en,6.318445,  United States of America, Columbia Pictures,Comedy,Drama,Romance,,11/17/1995,106,Released,Why can't the most powerful man in the world have the one thing he wants most?,6.5,199,,,,,,
10858,Nixon,"$44,000,000.00 ","$13,681,765.00 ",en,5.092,  United States of America, Hollywood Pictures,History,Drama,,,12/22/1995,192,Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",7.1,72,,,,,,
1408,Cutthroat Island,"$98,000,000.00 ","$10,017,322.00 ",en,7.284477,  France, Le Studio Canal+,Action,Adventure,,,12/22/1995,119,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,5.7,137,,,,,,
524,Casino,"$52,000,000.00 ","$116,112,375.00 ",en,10.137389,  France, Universal Pictures,Drama,Crime,,,11/22/1995,178,Released,No one stays at the top forever.,7.8,1343,,,,,,
4584,Sense and Sensibility,"$16,500,000.00 ","$135,000,000.00 ",en,10.673167,  United Kingdom, Columbia Pictures Corporation,Drama,Romance,,,12/13/1995,136,Released,Lose your heart and come to your senses.,7.2,364,,,,,,
5,Four Rooms,"$4,000,000.00 ","$4,300,000.00 ",en,9.026586,  United States of America, Miramax Films,Crime,Comedy,,,12/9/1995,98,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",6.5,539,,,,,,
9273,Ace Ventura: When Nature Calls,"$30,000,000.00 ","$212,385,533.00 ",en,8.205448,  United States of America, O Entertainment,Crime,Comedy,Adventure,,11/10/1995,90,Released,New animals. New adventures. Same hair.,6.1,1128,,,,,,
11517,Money Train,"$60,000,000.00 ","$35,431,113.00 ",en,7.337906,  United States of America, Columbia Pictures,Action,Comedy,Crime,,11/21/1995,103,Released,"Get on, or GET OUT THE WAY!",5.4,224,,,,,,
8012,Get Shorty,"$30,250,000.00 ","$115,101,622.00 ",en,12.669608,  United States of America, Jersey Films,Comedy,Thriller,Crime,,10/20/1995,105,Released,"The mob is tough, but it’s nothing like show business.",6.4,305,,,,,,
9691,Assassins,"$50,000,000.00 ","$30,303,072.00 ",en,11.065939,  France, Silver Pictures,Action,Adventure,Crime,Thriller,10/6/1995,132,Released,"In the shadows of life, In the business of death, One man found a reason to live...",6,394,,,,,,
451,Leaving Las Vegas,"$3,600,000.00 ","$49,800,000.00 ",en,10.332025,  United States of America, United Artists,Drama,Romance,,,10/27/1995,112,Released,I Love You... The Way You Are.,7.1,365,,,,,,
9263,Now and Then,"$12,000,000.00 ","$27,400,000.00 ",en,8.681325,  United States of America, New Line Cinema,Comedy,Drama,Family,,10/20/1995,100,Released,In every woman there is the girl she left behind.,6.6,91,,,,,,
